date,province,salinity_ppt,temperature_c,rainfall_mm,humidity_pct,ph,water_level_cm,risk_index,risk_label,season
2024-01-07,Bac Lieu,4.88,27.8,0.0,76.0,7.38,57.2,63,Medium,Dry
2024-01-07,Ben Tre,4.2,28.6,0.0,64.0,7.46,51.5,62,Medium,Dry
2024-01-07,Ca Mau,5.4,28.2,0.0,62.0,7.26,57.0,70,High,Dry
2024-01-08,Kien Giang,3.34,28.3,0.0,64.0,7.56,53.4,55,Medium,Dry
2024-01-08,Soc Trang,3.83,28.0,0.0,66.0,7.4,56.2,57,Medium,Dry
2024-01-08,Bac Lieu,4.87,27.9,9.1,69.0,7.33,54.3,62,Medium,Dry
2024-01-08,Ben Tre,3.93,28.0,0.0,63.0,7.53,60.6,58,Medium,Dry
2024-01-08,Ca Mau,5.61,28.6,0.0,64.0,7.3,55.9,72,High,Dry
2024-01-09,Kien Giang,3.64,27.9,0.0,65.0,7.48,58.9,55,Medium,Dry
2024-01-09,Soc Trang,4.75,27.7,0.0,62.0,7.47,53.2,64,Medium,Dry
2024-01-09,Bac Lieu,4.99,27.9,0.0,66.0,7.33,53.6,65,Medium,Dry
2024-01-09,Ben Tre,4.68,28.5,0.0,61.0,7.45,55.3,66,High,Dry
2024-01-09,Ca Mau,5.21,28.4,0.0,65.0,7.33,54.4,69,High,Dry
2024-01-10,Kien Giang,3.9,28.0,0.0,68.0,7.49,51.2,57,Medium,Dry
2024-01-10,Soc Trang,4.59,28.6,0.0,69.0,7.38,55.1,64,Medium,Dry
2024-01-10,Bac Lieu,5.14,28.2,0.0,68.0,7.41,53.3,67,High,Dry
2024-01-10,Ben Tre,4.12,28.6,0.0,67.0,7.46,53.5,61,Medium,Dry
2024-01-10,Ca Mau,5.18,28.5,0.0,63.0,7.35,56.0,69,High,Dry
2024-01-11,Kien Giang,3.9,28.6,0.0,66.0,7.49,56.6,59,Medium,Dry
2024-01-11,Soc Trang,4.6,28.3,0.0,65.0,7.37,54.1,64,Medium,Dry
2024-01-11,Bac Lieu,4.87,28.4,0.0,65.0,7.36,48.1,66,High,Dry
2024-01-11,Ben Tre,4.06,27.8,0.0,65.0,7.5,58.4,58,Medium,Dry
2024-01-11,Ca Mau,5.45,28.7,0.0,66.0,7.27,54.3,71,High,Dry
2024-01-12,Kien Giang,3.76,28.0,0.0,67.0,7.57,51.8,56,Medium,Dry
2024-01-12,Soc Trang,4.55,28.5,0.0,66.0,7.43,58.3,64,Medium,Dry
2024-01-12,Bac Lieu,5.27,28.8,0.0,66.0,7.44,50.4,70,High,Dry
2024-01-12,Ben Tre,4.14,28.0,0.0,64.0,7.48,54.4,60,Medium,Dry
2024-01-12,Ca Mau,5.33,29.1,0.0,67.0,7.21,59.6,71,High,Dry
2024-01-13,Kien Giang,3.71,28.9,0.0,62.0,7.6,52.8,60,Medium,Dry
2024-01-13,Soc Trang,4.6,28.9,0.0,66.0,7.38,55.4,66,High,Dry
2024-01-13,Bac Lieu,5.07,28.0,0.0,68.0,7.29,47.8,66,High,Dry
2024-01-13,Ben Tre,4.73,28.9,0.0,66.0,7.51,53.4,66,High,Dry
2024-01-13,Ca Mau,6.06,29.2,0.0,68.0,7.32,49.8,77,High,Dry
2024-01-14,Kien Giang,4.14,28.7,0.0,62.0,7.46,46.1,62,Medium,Dry
2024-01-14,Soc Trang,4.82,28.3,0.0,70.0,7.33,47.2,65,Medium,Dry
2024-01-14,Bac Lieu,4.64,28.4,0.5,66.0,7.29,55.7,64,Medium,Dry
2024-01-14,Ben Tre,4.15,28.6,0.0,66.0,7.52,49.7,61,Medium,Dry
2024-01-14,Ca Mau,5.54,28.6,0.0,64.0,7.27,49.6,72,High,Dry
2024-01-15,Kien Giang,3.61,28.3,0.0,64.0,7.55,52.8,57,Medium,Dry
2024-01-15,Soc Trang,4.56,28.4,0.0,65.0,7.4,45.1,64,Medium,Dry
2024-01-15,Bac Lieu,5.56,27.9,0.0,67.0,7.35,64.0,69,High,Dry
2024-01-15,Ben Tre,4.03,28.9,0.0,67.0,7.43,48.2,61,Medium,Dry
2024-01-15,Ca Mau,5.47,28.2,0.0,70.0,7.33,53.2,69,High,Dry
2024-01-16,Kien Giang,4.33,29.1,0.0,67.0,7.46,52.5,64,Medium,Dry
2024-01-16,Soc Trang,4.4,28.2,0.0,63.0,7.44,50.9,62,Medium,Dry
2024-01-16,Bac Lieu,5.28,28.3,0.0,64.0,7.35,53.0,69,High,Dry
2024-01-16,Ben Tre,4.25,28.4,0.0,65.0,7.51,55.0,62,Medium,Dry
2024-01-16,Ca Mau,5.38,28.1,0.0,67.0,7.25,55.2,69,High,Dry
2024-01-17,Kien Giang,3.54,28.3,0.0,67.0,7.5,55.4,56,Medium,Dry
2024-01-17,Soc Trang,4.63,27.9,0.0,66.0,7.37,51.9,63,Medium,Dry
2024-01-17,Bac Lieu,5.18,29.0,0.0,67.0,7.41,44.5,70,High,Dry
2024-01-17,Ben Tre,4.62,28.2,0.0,64.0,7.46,52.7,64,Medium,Dry
2024-01-17,Ca Mau,5.92,29.0,0.0,65.0,7.24,54.6,76,High,Dry
2024-01-18,Kien Giang,4.25,28.4,0.0,65.0,7.58,51.8,62,Medium,Dry
2024-01-18,Soc Trang,4.58,27.8,0.0,66.0,7.5,54.3,62,Medium,Dry
2024-01-18,Bac Lieu,5.43,28.5,0.0,68.0,7.26,57.2,70,High,Dry
2024-01-18,Ben Tre,4.46,28.7,0.0,66.0,7.47,51.6,64,Medium,Dry
2024-01-18,Ca Mau,5.93,28.3,0.0,65.0,7.29,54.4,74,High,Dry
2024-01-19,Kien Giang,3.94,29.0,0.0,65.0,7.47,51.6,61,Medium,Dry
2024-01-19,Soc Trang,5.1,28.8,0.0,69.0,7.41,59.8,68,High,Dry
2024-01-19,Bac Lieu,5.11,28.3,0.0,62.0,7.42,55.5,68,High,Dry
2024-01-19,Ben Tre,5.22,28.6,0.0,66.0,7.44,55.7,69,High,Dry
2024-01-19,Ca Mau,6.02,28.8,0.0,71.0,7.33,58.8,75,High,Dry
2024-01-20,Kien Giang,3.86,28.5,0.0,66.0,7.53,57.0,59,Medium,Dry
2024-01-20,Soc Trang,5.31,28.0,0.0,63.0,7.31,56.1,69,High,Dry
2024-01-20,Bac Lieu,5.39,28.7,0.0,70.0,7.32,47.9,70,High,Dry
2024-01-20,Ben Tre,4.59,28.6,0.0,65.0,7.49,59.7,65,Medium,Dry
2024-01-20,Ca Mau,6.12,29.1,4.0,66.0,7.22,63.2,76,High,Dry
2024-01-21,Kien Giang,4.19,28.7,0.0,66.0,7.49,51.3,62,Medium,Dry
2024-01-21,Soc Trang,4.84,28.7,0.0,65.0,7.47,43.9,67,High,Dry
2024-01-21,Bac Lieu,5.44,29.1,0.0,65.0,7.26,50.5,73,High,Dry
2024-01-21,Ben Tre,4.71,28.3,30.6,73.0,7.61,56.9,56,Medium,Dry
2024-01-21,Ca Mau,6.2,28.5,0.0,65.0,7.24,55.7,76,High,Dry
2024-01-22,Kien Giang,3.91,28.9,0.0,68.0,7.55,52.1,60,Medium,Dry
2024-01-22,Soc Trang,4.7,28.9,0.0,65.0,7.45,50.7,66,High,Dry
2024-01-22,Bac Lieu,5.25,28.2,0.0,70.0,7.24,59.1,68,High,Dry
2024-01-22,Ben Tre,4.71,28.8,0.0,66.0,7.51,53.6,66,High,Dry
2024-01-22,Ca Mau,6.21,28.8,0.0,62.0,7.19,55.8,78,High,Dry
2024-01-23,Kien Giang,4.17,28.9,0.0,65.0,7.48,53.9,62,Medium,Dry
2024-01-23,Soc Trang,5.31,28.4,0.0,67.0,7.4,56.6,69,High,Dry
2024-01-23,Bac Lieu,5.87,29.4,0.0,61.0,7.25,51.0,77,High,Dry
2024-01-23,Ben Tre,4.82,28.8,0.0,64.0,7.42,48.3,67,High,Dry
2024-01-23,Ca Mau,5.84,28.4,0.0,64.0,7.4,54.9,74,High,Dry
2024-01-24,Kien Giang,4.1,28.9,0.0,66.0,7.65,52.9,62,Medium,Dry
2024-01-24,Soc Trang,4.92,29.3,0.0,66.0,7.48,51.0,69,High,Dry
2024-01-24,Bac Lieu,5.82,29.5,0.0,68.0,7.34,47.7,76,High,Dry
2024-01-24,Ben Tre,4.75,28.5,0.0,66.0,7.48,53.8,65,Medium,Dry
2024-01-24,Ca Mau,6.37,28.3,0.0,69.0,7.3,54.8,76,High,Dry
2024-01-25,Kien Giang,3.86,28.8,0.5,67.0,7.54,54.3,59,Medium,Dry
2024-01-25,Soc Trang,4.87,28.3,0.0,69.0,7.4,55.6,65,Medium,Dry
2024-01-25,Bac Lieu,5.72,28.9,0.0,66.0,7.3,51.7,74,High,Dry
2024-01-25,Ben Tre,5.17,28.7,0.0,64.0,7.43,51.7,69,High,Dry
2024-01-25,Ca Mau,6.33,29.4,0.0,67.0,7.29,53.5,80,High,Dry
2024-01-26,Kien Giang,4.18,29.3,0.0,70.0,7.63,51.9,63,Medium,Dry
2024-01-26,Soc Trang,5.54,28.7,0.0,65.0,7.36,48.5,72,High,Dry
2024-01-26,Bac Lieu,5.74,28.5,0.0,67.0,7.4,49.7,73,High,Dry
2024-01-26,Ben Tre,4.83,29.3,0.0,63.0,7.46,53.8,69,High,Dry
2024-01-26,Ca Mau,6.17,29.1,0.0,65.0,7.22,51.3,78,High,Dry
2024-01-27,Kien Giang,4.64,28.7,0.4,70.0,7.48,50.4,64,Medium,Dry
2024-01-27,Soc Trang,5.26,29.1,0.0,62.0,7.46,59.5,72,High,Dry
2024-01-27,Bac Lieu,5.7,28.7,0.0,67.0,7.34,55.5,73,High,Dry
2024-01-27,Ben Tre,4.58,29.7,0.0,64.0,7.44,59.5,68,High,Dry
2024-01-27,Ca Mau,6.43,28.7,0.0,72.0,7.22,51.5,78,High,Dry
2024-01-28,Kien Giang,4.52,29.4,0.0,65.0,7.53,57.1,67,High,Dry
2024-01-28,Soc Trang,5.38,29.3,0.0,69.0,7.41,52.6,72,High,Dry
2024-01-28,Bac Lieu,5.93,29.0,0.0,65.0,7.31,57.7,76,High,Dry
2024-01-28,Ben Tre,4.97,29.0,0.0,68.0,7.55,52.1,68,High,Dry
2024-01-28,Ca Mau,6.39,29.1,0.0,67.0,7.28,53.9,79,High,Dry
2024-01-29,Kien Giang,4.45,28.8,0.0,66.0,7.47,57.4,64,Medium,Dry
2024-01-29,Soc Trang,5.15,28.4,0.0,67.0,7.47,53.0,68,High,Dry
2024-01-29,Bac Lieu,6.34,28.8,0.7,62.0,7.19,54.9,79,High,Dry
2024-01-29,Ben Tre,5.05,28.8,0.0,65.0,7.38,56.3,69,High,Dry
2024-01-29,Ca Mau,6.44,29.3,0.0,62.0,7.21,53.0,81,High,Dry
2024-01-30,Kien Giang,4.12,29.1,0.0,70.0,7.51,57.1,62,Medium,Dry
2024-01-30,Soc Trang,5.44,29.2,0.0,68.0,7.44,53.9,72,High,Dry
2024-01-30,Bac Lieu,5.74,29.3,0.0,71.0,7.31,48.2,74,High,Dry
2024-01-30,Ben Tre,4.86,29.1,0.0,65.0,7.35,51.6,68,High,Dry
2024-01-30,Ca Mau,6.7,28.1,0.0,67.0,7.2,53.0,79,High,Dry
2024-01-31,Kien Giang,4.17,29.1,0.0,65.0,7.52,53.9,63,Medium,Dry
2024-01-31,Soc Trang,5.11,28.3,0.0,65.0,7.48,55.4,68,High,Dry
2024-01-31,Bac Lieu,6.09,28.9,0.0,69.0,7.35,53.4,76,High,Dry
2024-01-31,Ben Tre,5.28,28.8,0.0,68.0,7.49,51.3,70,High,Dry
2024-01-31,Ca Mau,6.6,29.6,0.0,70.0,7.25,50.9,82,High,Dry
2024-02-01,Kien Giang,4.62,28.9,0.0,65.0,7.5,60.7,66,High,Dry
2024-02-01,Soc Trang,5.49,29.8,0.7,66.0,7.38,55.5,75,High,Dry
2024-02-01,Bac Lieu,5.92,28.7,0.0,62.0,7.34,55.5,75,High,Dry
2024-02-01,Ben Tre,5.48,28.9,0.0,67.0,7.48,59.1,72,High,Dry
2024-02-01,Ca Mau,6.54,28.9,0.0,68.0,7.28,47.7,80,High,Dry
2024-02-02,Kien Giang,4.86,29.8,0.0,67.0,7.5,51.3,70,High,Dry
2024-02-02,Soc Trang,5.41,28.9,0.0,69.0,7.41,51.9,71,High,Dry
2024-02-02,Bac Lieu,5.31,29.5,0.0,65.0,7.27,48.7,73,High,Dry
2024-02-02,Ben Tre,5.11,29.6,0.0,67.0,7.43,48.7,71,High,Dry
2024-02-02,Ca Mau,6.5,29.6,0.0,70.0,7.28,52.0,81,High,Dry
2024-02-03,Kien Giang,4.46,29.1,0.0,71.0,7.52,54.7,64,Medium,Dry
2024-02-03,Soc Trang,5.51,29.6,0.0,66.0,7.37,55.7,74,High,Dry
2024-02-03,Bac Lieu,6.24,29.2,0.0,66.0,7.3,46.2,79,High,Dry
2024-02-03,Ben Tre,5.23,29.6,0.0,71.0,7.42,57.1,72,High,Dry
2024-02-03,Ca Mau,6.51,28.8,0.0,71.0,7.24,54.0,79,High,Dry
2024-02-04,Kien Giang,4.69,29.6,0.0,72.0,7.49,53.9,67,High,Dry
2024-02-04,Soc Trang,5.76,29.7,0.0,69.0,7.39,49.2,76,High,Dry
2024-02-04,Bac Lieu,5.8,29.9,0.0,66.0,7.32,54.3,78,High,Dry
2024-02-04,Ben Tre,5.12,29.4,0.0,68.0,7.49,48.9,71,High,Dry
2024-02-04,Ca Mau,6.87,29.5,0.0,66.0,7.24,52.6,84,High,Dry
2024-02-05,Kien Giang,4.99,29.3,0.0,64.0,7.44,45.7,70,High,Dry
2024-02-05,Soc Trang,5.18,29.0,0.0,70.0,7.43,50.8,70,High,Dry
2024-02-05,Bac Lieu,5.5,30.2,0.0,72.0,7.24,47.4,75,High,Dry
2024-02-05,Ben Tre,5.81,29.7,0.0,67.0,7.45,55.9,77,High,Dry
2024-02-05,Ca Mau,6.55,29.4,0.0,65.0,7.16,52.9,82,High,Dry
2024-02-06,Kien Giang,4.34,28.9,0.0,68.0,7.43,49.7,63,Medium,Dry
2024-02-06,Soc Trang,5.67,29.7,0.0,64.0,7.37,48.5,76,High,Dry
2024-02-06,Bac Lieu,6.23,29.1,0.0,66.0,7.33,54.0,78,High,Dry
2024-02-06,Ben Tre,5.26,29.9,0.0,67.0,7.43,53.3,73,High,Dry
2024-02-06,Ca Mau,6.6,29.0,0.0,63.0,7.21,50.7,81,High,Dry
2024-02-07,Kien Giang,4.47,29.7,0.0,67.0,7.46,60.7,67,High,Dry
2024-02-07,Soc Trang,5.64,28.9,0.0,66.0,7.37,53.4,73,High,Dry
2024-02-07,Bac Lieu,6.04,29.3,0.0,63.0,7.3,62.2,78,High,Dry
2024-02-07,Ben Tre,5.66,29.0,0.0,67.0,7.5,51.9,74,High,Dry
2024-02-07,Ca Mau,6.65,29.3,0.0,63.0,7.21,48.9,82,High,Dry
2024-02-08,Kien Giang,4.46,29.4,0.0,67.0,7.42,54.4,66,High,Dry
2024-02-08,Soc Trang,5.9,29.7,0.0,63.0,7.44,54.7,78,High,Dry
2024-02-08,Bac Lieu,6.2,29.1,0.0,67.0,7.26,53.8,78,High,Dry
2024-02-08,Ben Tre,5.09,28.8,0.0,69.0,7.49,55.3,68,High,Dry
2024-02-08,Ca Mau,6.75,28.9,0.0,69.0,7.25,61.3,81,High,Dry
2024-02-09,Kien Giang,4.71,29.6,0.0,66.0,7.53,56.5,69,High,Dry
2024-02-09,Soc Trang,5.28,29.1,0.0,61.0,7.41,49.3,72,High,Dry
2024-02-09,Bac Lieu,6.23,28.6,0.0,68.0,7.31,52.9,76,High,Dry
2024-02-09,Ben Tre,5.23,29.8,0.0,64.0,7.47,52.6,73,High,Dry
2024-02-09,Ca Mau,6.87,29.1,0.0,66.0,7.29,54.9,83,High,Dry
2024-02-10,Kien Giang,4.9,29.5,0.0,66.0,7.42,49.5,70,High,Dry
2024-02-10,Soc Trang,5.65,29.3,0.0,67.0,7.36,54.9,74,High,Dry
2024-02-10,Bac Lieu,5.77,29.5,0.0,63.0,7.34,58.6,77,High,Dry
2024-02-10,Ben Tre,5.27,29.9,0.0,70.0,7.43,52.0,73,High,Dry
2024-02-10,Ca Mau,6.81,29.2,0.0,66.0,7.23,54.7,83,High,Dry
2024-02-11,Kien Giang,4.08,30.0,0.0,68.0,7.44,52.4,65,Medium,Dry
2024-02-11,Soc Trang,5.21,29.0,0.0,65.0,7.25,51.3,71,High,Dry
2024-02-11,Bac Lieu,6.28,29.7,0.0,67.0,7.3,49.8,80,High,Dry
2024-02-11,Ben Tre,5.3,30.0,0.0,65.0,7.38,52.6,74,High,Dry
2024-02-11,Ca Mau,7.28,30.2,0.0,65.0,7.18,56.8,90,High,Dry
2024-02-12,Kien Giang,5.19,29.3,0.0,71.0,7.45,55.8,70,High,Dry
2024-02-12,Soc Trang,5.69,29.7,0.0,64.0,7.39,50.8,76,High,Dry
2024-02-12,Bac Lieu,6.34,30.3,0.0,65.0,7.3,48.5,83,High,Dry
2024-02-12,Ben Tre,5.1,29.1,0.0,67.0,7.49,55.7,70,High,Dry
2024-02-12,Ca Mau,6.75,29.9,0.0,65.0,7.22,57.8,85,High,Dry
2024-02-13,Kien Giang,4.59,29.8,0.0,68.0,7.5,54.1,68,High,Dry
2024-02-13,Soc Trang,5.82,30.2,0.0,65.0,7.31,49.5,79,High,Dry
2024-02-13,Bac Lieu,6.28,28.8,0.0,65.0,7.32,56.1,78,High,Dry
2024-02-13,Ben Tre,5.24,29.9,0.0,66.0,7.44,52.3,73,High,Dry
2024-02-13,Ca Mau,7.13,30.2,0.0,69.0,7.22,48.7,88,High,Dry
2024-02-14,Kien Giang,4.6,29.8,0.0,69.0,7.5,54.3,68,High,Dry
2024-02-14,Soc Trang,5.86,30.3,0.0,62.0,7.39,54.5,80,High,Dry
2024-02-14,Bac Lieu,6.52,30.1,0.0,65.0,7.24,51.2,84,High,Dry
2024-02-14,Ben Tre,5.1,29.8,0.0,67.0,7.49,51.1,72,High,Dry
2024-02-14,Ca Mau,6.99,29.6,0.0,64.0,7.26,52.8,86,High,Dry
2024-02-15,Kien Giang,4.96,29.8,0.0,65.0,7.57,51.8,71,High,Dry
2024-02-15,Soc Trang,5.97,29.7,0.0,62.0,7.42,51.3,79,High,Dry
2024-02-15,Bac Lieu,6.76,30.7,0.0,71.0,7.37,57.4,86,High,Dry
2024-02-15,Ben Tre,5.56,30.1,0.0,64.0,7.41,52.6,77,High,Dry
2024-02-15,Ca Mau,7.03,29.5,0.0,70.0,7.17,52.5,85,High,Dry
2024-02-16,Kien Giang,4.32,29.4,0.0,70.0,7.54,49.6,64,Medium,Dry
2024-02-16,Soc Trang,5.69,30.4,0.0,64.0,7.34,57.0,79,High,Dry
2024-02-16,Bac Lieu,6.77,30.4,0.0,66.0,7.18,54.3,86,High,Dry
2024-02-16,Ben Tre,5.56,29.6,0.0,65.0,7.36,43.1,75,High,Dry
2024-02-16,Ca Mau,7.47,29.7,0.0,64.0,7.23,49.7,90,High,Dry
2024-02-17,Kien Giang,4.78,29.8,0.0,65.0,7.44,50.3,70,High,Dry
2024-02-17,Soc Trang,5.86,29.6,0.0,70.0,7.34,53.1,76,High,Dry
2024-02-17,Bac Lieu,5.8,29.4,0.0,68.0,7.35,52.2,76,High,Dry
2024-02-17,Ben Tre,5.57,29.7,0.0,62.0,7.39,56.0,76,High,Dry
2024-02-17,Ca Mau,7.16,29.2,0.0,66.0,7.14,57.3,85,High,Dry
2024-02-18,Kien Giang,4.61,29.5,0.0,63.0,7.5,54.7,68,High,Dry
2024-02-18,Soc Trang,5.57,30.0,0.0,66.0,7.31,43.0,76,High,Dry
2024-02-18,Bac Lieu,6.65,29.9,0.0,68.0,7.38,53.3,84,High,Dry
2024-02-18,Ben Tre,5.3,29.5,0.0,64.0,7.4,49.9,73,High,Dry
2024-02-18,Ca Mau,7.47,29.8,0.0,65.0,7.13,56.3,90,High,Dry
2024-02-19,Kien Giang,4.9,29.8,0.0,64.0,7.46,57.2,71,High,Dry
2024-02-19,Soc Trang,5.43,29.8,0.0,71.0,7.42,51.6,74,High,Dry
2024-02-19,Bac Lieu,6.55,30.3,0.0,64.0,7.25,56.8,85,High,Dry
2024-02-19,Ben Tre,5.37,29.7,0.0,64.0,7.44,60.4,74,High,Dry
2024-02-19,Ca Mau,7.08,29.4,0.0,70.0,7.22,54.8,85,High,Dry
2024-02-20,Kien Giang,4.94,29.4,0.0,69.0,7.62,55.2,69,High,Dry
2024-02-20,Soc Trang,5.89,30.0,0.0,65.0,7.36,57.8,79,High,Dry
2024-02-20,Bac Lieu,6.73,29.4,0.0,61.0,7.25,57.7,84,High,Dry
2024-02-20,Ben Tre,5.69,29.8,0.0,67.0,7.4,51.9,76,High,Dry
2024-02-20,Ca Mau,6.86,29.7,0.0,69.0,7.3,56.7,84,High,Dry
2024-02-21,Kien Giang,4.61,29.7,0.5,67.0,7.44,57.5,68,High,Dry
2024-02-21,Soc Trang,5.86,29.7,0.0,67.0,7.33,56.2,77,High,Dry
2024-02-21,Bac Lieu,6.21,29.3,0.0,64.0,7.33,53.8,79,High,Dry
2024-02-21,Ben Tre,5.61,30.0,0.0,67.0,7.4,55.6,76,High,Dry
2024-02-21,Ca Mau,7.38,30.6,0.0,66.0,7.09,56.2,91,High,Dry
2024-02-22,Kien Giang,4.83,29.7,0.0,68.0,7.47,55.0,69,High,Dry
2024-02-22,Soc Trang,5.59,29.8,0.0,69.0,7.34,56.0,75,High,Dry
2024-02-22,Bac Lieu,6.93,30.0,0.0,66.0,7.26,56.0,86,High,Dry
2024-02-22,Ben Tre,5.73,29.2,0.0,70.0,7.41,52.6,74,High,Dry
2024-02-22,Ca Mau,7.4,29.9,0.0,64.0,7.22,56.6,90,High,Dry
2024-02-23,Kien Giang,4.18,30.1,0.0,68.0,7.47,46.8,66,High,Dry
2024-02-23,Soc Trang,6.17,30.1,0.0,70.0,7.41,58.9,80,High,Dry
2024-02-23,Bac Lieu,6.41,30.2,0.0,64.0,7.39,52.6,83,High,Dry
2024-02-23,Ben Tre,5.64,30.0,0.0,64.0,7.42,50.6,77,High,Dry
2024-02-23,Ca Mau,7.02,29.4,0.0,64.0,7.16,52.9,85,High,Dry
2024-02-24,Kien Giang,5.05,29.4,0.0,65.0,7.45,54.3,71,High,Dry
2024-02-24,Soc Trang,5.79,30.5,0.0,68.0,7.36,50.6,79,High,Dry
2024-02-24,Bac Lieu,6.28,29.8,0.0,71.0,7.29,50.7,80,High,Dry
2024-02-24,Ben Tre,5.58,29.4,0.0,67.0,7.34,56.3,74,High,Dry
2024-02-24,Ca Mau,7.17,29.8,0.0,70.0,7.26,52.3,87,High,Dry
2024-02-25,Kien Giang,4.81,29.6,0.0,64.0,7.48,53.5,70,High,Dry
2024-02-25,Soc Trang,5.68,29.9,0.0,63.0,7.43,52.9,77,High,Dry
2024-02-25,Bac Lieu,6.73,30.0,0.0,67.0,7.25,54.5,85,High,Dry
2024-02-25,Ben Tre,5.39,29.5,10.9,63.0,7.44,56.2,71,High,Dry
2024-02-25,Ca Mau,6.88,30.1,0.0,68.0,7.24,50.9,86,High,Dry
2024-02-26,Kien Giang,5.12,30.7,0.0,64.0,7.54,52.3,75,High,Dry
2024-02-26,Soc Trang,5.91,30.1,0.0,68.0,7.26,57.8,79,High,Dry
2024-02-26,Bac Lieu,6.22,29.4,0.0,65.0,7.24,52.4,79,High,Dry
2024-02-26,Ben Tre,5.71,29.9,0.0,69.0,7.48,51.2,76,High,Dry
2024-02-26,Ca Mau,7.38,29.9,0.0,70.0,7.15,51.1,89,High,Dry
2024-02-27,Kien Giang,4.94,30.1,0.0,65.0,7.48,55.1,72,High,Dry
2024-02-27,Soc Trang,5.83,30.1,0.0,65.0,7.34,58.8,79,High,Dry
2024-02-27,Bac Lieu,6.42,30.3,0.0,68.0,7.27,57.3,83,High,Dry
2024-02-27,Ben Tre,5.5,30.2,0.0,67.0,7.33,49.3,76,High,Dry
2024-02-27,Ca Mau,7.18,29.6,0.0,68.0,7.24,46.9,87,High,Dry
2024-02-28,Kien Giang,4.83,29.9,0.0,65.0,7.39,55.8,70,High,Dry
2024-02-28,Soc Trang,5.91,29.7,0.0,60.0,7.34,57.1,79,High,Dry
2024-02-28,Bac Lieu,6.38,30.9,0.0,66.0,7.41,47.9,85,High,Dry
2024-02-28,Ben Tre,5.64,30.2,0.0,67.0,7.39,54.1,77,High,Dry
2024-02-28,Ca Mau,7.24,30.0,0.0,66.0,7.27,53.0,89,High,Dry
2024-02-29,Kien Giang,5.19,29.4,0.0,65.0,7.55,45.7,72,High,Dry
2024-02-29,Soc Trang,5.84,31.4,0.0,67.0,7.37,55.5,82,High,Dry
